FPR_LR,TPR_LR,FPR_XGB,TPR_XGB,Random
0.5809,0.8695,0.6052,0.8765,0.8543
0.5893,0.8743,0.6127,0.881,0.8593
0.5966,0.8788,0.6246,0.8854,0.8643
0.6091,0.8834,0.6357,0.89,0.8693
0.6164,0.8882,0.6454,0.8943,0.8744
0.6256,0.8924,0.6548,0.8987,0.8794
0.6352,0.8969,0.6648,0.9025,0.8844
0.6437,0.9017,0.6718,0.9063,0.8894
0.6575,0.9061,0.6792,0.9104,0.8945
0.6721,0.9108,0.6917,0.915,0.8995
0.6856,0.915,0.702,0.9198,0.9045
0.6965,0.9194,0.7124,0.9245,0.9095
0.709,0.9241,0.72,0.9285,0.9146
0.7197,0.9289,0.7321,0.9325,0.9196
0.7296,0.9331,0.7431,0.9366,0.9246
0.7392,0.9376,0.7544,0.9408,0.9296
0.7561,0.9422,0.7746,0.9448,0.9347
0.7718,0.9468,0.7831,0.949,0.9397
0.7885,0.9515,0.7992,0.9533,0.9447
0.8003,0.9557,0.8095,0.9577,0.9497
0.8151,0.9605,0.8244,0.9613,0.9548
0.8338,0.9654,0.8414,0.9662,0.9598
0.8485,0.9696,0.8571,0.9704,0.9648
0.8669,0.974,0.8734,0.9746,0.9698
0.8843,0.9782,0.8921,0.9789,0.9749
0.9042,0.9829,0.9062,0.9835,0.9799
0.9282,0.9871,0.9219,0.9877,0.9849
0.9546,0.9913,0.9427,0.9917,0.9899
0.9755,0.9958,0.9604,0.996,0.995
1.0,1.0,1.0,1.0,1.0
